"title","boxoffice","date","domestic","ntitle0","ntitle1","ntitle2","popularity0","popularity1","popularity2","rating","weightedrating"
"侏羅紀世界 ",27796,"6/10","n",8,123,54,113,1502,848,0.422764227642276,0.127244340359094
"玩命關頭7",25719,"4/01","n",14,147,83,206,1778,930,0.521739130434783,0.308231173380035
"復仇者聯盟2：奧創紀元",20408,"4/22","n",14,187,41,297,2524,642,0.460526315789474,0.12037037037037
"我的少女時代",15895,"8/13","d",29,148,176,687,2768,3862,0.752988047808765,0.55126687189202
"不可能的任務：失控國度",15016,"7/29","n",6,76,14,93,924,141,0.851851851851852,0.785046728971963
"金牌特務",13116,"2/18","n",33,78,68,429,1023,1076,0.842592592592593,0.864521591871296
"蟻人",12781,"7/16","n",8,102,34,113,1687,540,0.775,0.627947598253275
"小小兵",11394,"7/9","n",10,41,9,103,519,92,0.379310344827586,0.064327485380117
"高年級實習生 ",11188,"9/25","n",3,33,23,14,555,202,0.666666666666667,0.0571428571428571
"星際大戰：原力覺醒",9453,"12/17","n",28,109,45,523,1750,896,0.675,0.436101083032491
"加州大地震",8120,"5/29","n",2,56,3,125,591,51,0.571428571428571,0.462857142857143
"移動迷宮：焦土試煉",7748,"9/09","n",4,75,12,69,785,128,0.408450704225352,0.0184453227931489
"007：惡魔四伏",7349,"11/05","n",10,91,15,135,903,134,0.346153846153846,0.0770491803278689
"絕地救援 ",7288,"10/01","n",10,106,47,124,974,446,0.818181818181818,0.713274336283186
"腦筋急轉彎",7003,"8/07","n",23,47,29,243,725,327,0.953271028037383,0.911496350364963
"飢餓遊戲：自由幻夢終結戰",6488,"11/20","n",4,54,7,8,593,43,0.526315789473684,0.456591639871383
"即刻救援3",6472,"1/09","n",1,38,6,34,346,39,0.266666666666667,-0.0842105263157895
"葉問3",6431,"12/31","n",28,43,7,224,517,67,0.75,0.716981132075472
"麻辣賤諜",6339,"5/22","n",6,19,7,124,203,137,0.777777777777778,0.434343434343434
"美國狙擊手",5657,"1/15","n",4,54,26,50,377,304,0.6,0.377906976744186
"大囍臨門 ",5571,"2/18","d",6,21,6,10,249,24,0.642857142857143,0.516129032258065
"魔鬼終結者：創世契機",5172,"7/02","n",15,100,35,276,900,317,0.640625,0.617486338797814
"格雷的五十道陰影",4928,"2/13","n",8,79,19,58,1041,166,0.333333333333333,-0.0500782472613459
"歌喉讚2 ",4912,"5/15","n",3,38,10,39,513,140,0.604651162790698,0.344961240310078
"熊麻吉2",4875,"6/25","n",4,33,23,19,473,172,0.555555555555556,0.0864197530864197
"模仿遊戲",4365,"2/26","n",4,50,19,86,653,307,0.775862068965517,0.737951807228916
"分歧者2：叛亂者",4187,"3/20","n",1,16,9,76,231,74,0.321428571428571,-0.308056872037915
"瘋狂麥斯：憤怒道",3889,"5/15","n",12,144,45,217,2599,862,0.672,0.574241617881852
"聖母峰 ",3790,"9/18","n",2,50,15,13,671,265,0.68,0.732307692307692
"紳士密令",3489,"8/13","n",5,48,25,56,664,368,0.537037037037037,0.169836956521739
"追婚日記",3088,"12/04","d",2,9,6,12,81,61,0.15,-0.479338842975207
"破風",2925,"8/07","n",8,24,22,67,234,160,0.452380952380952,0.203703703703704
"明日世界",2872,"5/22","n",1,38,11,10,294,95,0.264705882352941,-0.0382513661202186
"小王子 ",2812,"10/23","n",7,33,13,45,344,81,0.761904761904762,0.607305936073059
"紅衣小女孩",2612,"11/27","d",7,38,28,162,438,149,0.577777777777778,0.230769230769231
"獵巫行動：大滅絕",2372,"10/21","n",1,16,5,3,97,85,0.470588235294118,-0.491525423728814
"成人世界",2304,"3/06","n",1,46,11,13,311,45,0.482142857142857,0.126923076923077
"朱比特崛起",2234,"2/04","n",1,25,8,21,180,40,0.470588235294118,0.172972972972973
"刺客聶隱娘",2222,"8/28","d",3,45,21,17,421,135,0.693548387096774,0.150224215246637
"角頭",2217,"7/09","d",4,41,4,2,510,35,0.4,-0.0220994475138122
"玩命快遞：肆意橫行",2214,"9/02","n",0,19,2,0,97,26,0.285714285714286,0.285714285714286
"間諜橋 ",2183,"10/16","n",1,42,14,5,372,125,0.945945945945946,0.89041095890411
"仙履奇緣",2126,"3/13","n",2,19,0,12,215,0,0.590909090909091,0.506976744186047
"天菜大廚",2119,"10/30","n",6,13,2,11,116,8,0.714285714285714,-0.19672131147541
"翻轉幸福",2077,"12/31","n",8,7,5,28,48,37,0.416666666666667,0.51063829787234
"馬達加斯加爆走企鵝 ",2073,"2/13","n",3,2,1,19,33,16,0.666666666666667,0.542857142857143
"白鯨傳奇：怒海之心",1954,"12/03","n",2,22,5,7,98,30,0.857142857142857,0.431578947368421
"魔法黑森林",1943,"2/18","n",2,32,7,12,238,45,0.40625,0.091324200913242
"尖叫旅社2   ",1926,"9/25","n",0,5,5,0,62,24,0.833333333333333,0.804878048780488
"一夜狂奔",1891,"3/12","n",2,13,3,0,145,34,0.818181818181818,0.825
