"tag","day","rate"
"other",21,10
"other",-281,23
"other",-280,14
"other",-269,53
"other",-137,10
"other",-91,19
"other",-85,8
"other",-81,8
"other",-65,35
"other",-64,0
"other",-49,58
"other",-34,7
"other",-33,2
"other",-27,1
"other",-26,0
"pos",-21,6
"other",-17,3
"pos",-13,4
"pos",-8,1
"poor",-7,35
"pos",-7,3
"pos",-7,0
"other",-7,4
"other",-7,4
"pos",-6,2
"other",-6,1
"other",-6,0
"poor",-6,12
"poor",-5,0
"poor",-5,10
"pos",-5,14
"other",-5,17
"poor",-5,5
"other",-5,2
"pos",-5,9
"other",-4,39
"poor",-4,1
"other",-4,5
"pos",-4,9
"pos",-4,4
"pos",-4,17
"pos",-4,5
"pos",-4,6
"pos",-3,5
"other",-2,9
"other",-2,6
"other",-1,0
"other",0,18
"pos",0,17
"pos",0,4
"pos",1,56
"other",1,21
"other",1,12
"pos",1,2
"pos",1,10
"other",1,5
"pos",2,20
"pos",2,4
"other",2,0
"other",2,0
"pos",2,0
"poor",2,2
"other",2,23
"pos",2,14
"poor",3,8
"pos",3,4
"pos",3,18
"other",3,11
"pos",3,3
"poor",3,5
"other",3,46
"poor",3,6
"pos",3,3
"other",3,8
"pos",3,10
"other",3,9
"other",4,5
"other",4,9
"other",4,12
"neg",4,10
"other",4,21
"other",5,8
"other",5,2
"other",5,15
"pos",5,7
"pos",6,1
"other",6,40
"neg",6,8
"pos",6,35
"pos",6,5
"other",7,19
"other",9,3
"other",9,13
"other",10,9
"pos",10,12
"other",13,10
"pos",13,1
"other",14,11
"other",15,2
"other",16,27
"other",16,9
"other",16,24
"other",19,7
"other",19,3
"other",19,13
"other",19,2
"pos",22,6
"pos",28,5
