"title","author","date","response"
"10276","[討論] 「星際爭霸戰:浩瀚無垠」第二支預告","beckseaton"," 5/21","57"
"10458","[討論] 星際爭霸戰：浩瀚無垠,第二支中文預告","hn12404988"," 5/23","54"
"12384","[新聞] 《星際爭霸戰》男星27歲離奇猝逝　被自家","godshibainu"," 6/20","87"
"12474","[新聞] 克里斯潘恩解釋《星際爭霸戰》系列如何","ocp1017"," 6/21","14"
"12933","Re: [無雷] 闇黑無界:星際爭霸戰-別等了，去戲院吧！","frice"," 6/26","1"
"13025","[討論] 星際爭霸戰:浩瀚無垠  第三支預告","magneto5566"," 6/27","25"
"13093","[討論] 星際爭霸戰：浩瀚無垠 第三支預告中文版","hzhz1010"," 6/28","6"
"13696","[贈票] 【星際爭霸戰：浩瀚無垠】IMAX 3D搶先看","cecilia1220"," 7/07","爆"
"13761","[情報] 【星際爭霸戰：浩瀚無垠】IMAX 3D特映會。","roujuu"," 7/08","1"
"13938","[新聞] 《星際爭霸戰》舵手出櫃 原版蘇魯：不妥","sampsonlu919"," 7/10","42"
"14490","[贈票] 7/20喜滿客京華影城星際爭霸戰（已贈送）","pyrotechnic"," 7/17",""
"14582","[情報] 星際爭霸戰：浩瀚無垠 首波爛番茄評價","ronray7799"," 7/18","27"
"14664","[選片] 星際爭霸戰3 VS 蝙蝠俠卡通","BABYINCAR"," 7/20","28"
"14673","[新聞]《星際爭霸戰》如何詮釋銀河系的偉大包容?","coolbeguy"," 7/20","18"
"14708","[好雷] 星際爭霸戰3:浩瀚無垠 IMAX 3D","paulyear"," 7/20","23"
"14712","[討論]看《星際爭霸戰》前，你不可不知...","Coeus617"," 7/20","4"
"14720","[好無雷] 星際爭霸戰:飛~向~宇宙 浩~瀚~無垠","ayrtonvitas"," 7/20","9"
"14726","Re: [新聞]《星際爭霸戰》如何詮釋銀河系的偉大包容?","hanjibus"," 7/21","3"
"14730","[好雷]星際爭霸戰：浩瀚無垠 ","bpf1980"," 7/21","3"
"14736","[好無雷] 星際爭霸戰：浩瀚無垠 Beyond","sunnyborage"," 7/21","16"
"14748","[好雷] 星際爭霸戰--Beyond ","ckshchen"," 7/21","5"
"14751","[請益] 沒看過星際爭霸戰前兩集…","fog"," 7/21","24"
"14756","[好雷] 太空版玩命關頭/星際爭霸戰：浩瀚無垠 ","alexisv41"," 7/21","12"
"14758","[普雷] Star Trek 星際爭霸戰:浩瀚無垠 ","elthea"," 7/21","8"
"14766","[普雷]  星際爭霸戰：浩瀚無垠小感（有劇情雷","blackone979"," 7/21","13"
"14767","[選片] 星際爭霸戰 vs 魔鬼剋星","NaaL"," 7/21","8"
"14770","[普雷]  星際爭霸戰疑問","chaioya"," 7/21","5"
"14776","[好雷] 找回2009年的感動 星際爭霸戰浩瀚無垠","pixar"," 7/21","2"
"14777","[無雷] 星際爭霸戰 4DX版本","id44kimo"," 7/21","6"
"14780","[新聞] 《星際爭霸戰》安東逝世 不會重選角","sampsonlu919"," 7/21","16"
"14781","[普偏好無雷] 星際爭霸戰:浩瀚無垠","pchou17"," 7/21","3"
"14786","[負雷] 星際爭霸戰：浩瀚無垠","hope951"," 7/21","11"
"14789","[選片] 六弄咖啡館與星際爭霸戰","ZeroGAY"," 7/21",""
"14790","[無雷] 星際爭霸戰：浩瀚無垠 (ST粉v一般人心得)","trilvie"," 7/21","7"
"14791","[ 好無雷] 星際爭霸戰 Beyond","xxx60709"," 7/21","12"
"14793","[負雷] 星際爭霸戰 浩瀚無垠","macrose"," 7/21","12"
"14803","[好無雷] 星際爭霸戰也能這麼爽","bluenicole"," 7/22","21"
"14807","[普好雷] 少了一味的 星際爭霸戰-浩瀚無垠","rio6625"," 7/22","18"
"14809","[好雷]星際爭霸戰-浩瀚無垠 ","saran0604"," 7/22","16"
"14816","[選片] 星際爭霸戰 vs 鬼關燈","hibot"," 7/22","11"
"14824","[討論] 星際爭霸戰-浩瀚無垠是不是有向某片致敬","MadMac"," 7/22","18"
"14831","[普雷]星際爭霸戰：缺點與優點不相上下 ","rf73"," 7/22","13"
"14841","[好雷]星際爭霸戰-浩瀚無垠 無劇透","tactical"," 7/22","6"
"14843","[好雷] 星際爭霸戰：浩瀚無垠","krajicek"," 7/22","25"
"14845","[好無雷] 嗑電影:星際爭霸戰：浩瀚無垠","gys2"," 7/22","6"
"14848","[好雷] 星際爭霸戰:浩瀚無垠 ","seal0237"," 7/22","7"
"14860","[好雷] 星際爭霸戰 浩瀚無垠 Beyond ","kc1208"," 7/22","15"
"14873","[ 好雷] 《星際爭霸戰－浩瀚無垠》4DX","NaaL"," 7/23","9"
"14876","[好雷] 星際爭霸戰：浩瀚無垠~承先啟後~ ","tsukachan"," 7/23","8"
"14883","[好雷] 星際爭霸戰：浩瀚無垠 ","m19871006"," 7/23","11"
"14886","[請益] 請問星際爭霸戰沒看過前面可以看嗎？","andycheng60"," 7/23","11"
"14890","Re: [新聞] 《星際爭霸戰》舵手出櫃 原版蘇魯：不妥","doggyking"," 7/23","3"
"14894","Re: [新聞] 《星際爭霸戰》舵手出櫃 原版","airport"," 7/23","23"
"14906","[好雷]拋開懷舊展望未來－星際爭霸戰：浩瀚無垠 ","bpf1980"," 7/23","18"
"14944","[討論] 星際爭霸戰 這三集配樂從第1秒就很有氣氛","SKnight"," 7/24","11"
"14967","[普好雷] 星際爭霸戰:浩瀚無垠","mc929"," 7/24","3"
"14984","[普雷] 星際爭霸戰－－編劇太偷懶啦！","damnedfish"," 7/24","22"
"14991","Re: [普雷] 星際爭霸戰－－編劇太偷懶啦！","bluenicole"," 7/24","10"
"15008","[好雷] 星際爭霸戰:浩瀚無垠-ST腦粉心得","tofu"," 7/24","15"
"15012","[請益] 星際爭霸戰-浩瀚無垠疑問（有雷）","luckyniki"," 7/24","8"
"15016","Re: [請益] 星際爭霸戰-浩瀚無垠疑問（有雷）","SIAO"," 7/24","6"
"15022","[請益]星際爭霸戰 浩瀚無垠，系列劇情關聯性","topmaxxx"," 7/25","7"
"15025","[好雷] 星際爭霸戰浩瀚無垠-生存就必須團結","ck0413"," 7/25","6"
"15026","[好雷] 星際爭霸戰-浩瀚無垠 4DX與迷妹心得  ","rio6625"," 7/25","28"
"15033","Re: [請益] 星際爭霸戰-浩瀚無垠疑問（有雷）","Midiya"," 7/25","3"
"15034"," [普偏好有雷] 星際爭霸戰:浩瀚無垠~~~","hsiung9"," 7/25","2"
"15037","[負雷]星際爭霸戰：浩瀚無垠","id2007"," 7/25",""
"15043","[請益] 請問星際爭霸戰比大小","hentai1989"," 7/25","54"
"15086","[好微雷] 星際爭霸戰:浩瀚無垠-自嗨心得","nekohello"," 7/26","3"
"15090","Re: [好雷] 星際爭霸戰-浩瀚無垠 4DX與迷妹心得  ","SIAO"," 7/26","20"
"15104","[  雷] 星際爭霸戰-約克鎮太空站","XDDDDDDXDDDD"," 7/26","6"
"15106","[討論] 星際爭霸戰4DX體驗會","chivalry70"," 7/26","3"
"15114","[好雷] 星際爭霸戰-浩瀚無垠(可能有雷)","YAYAYAyeh"," 7/26","9"
"15123","[請益] 星際爭霸戰-浩瀚無垠 小5看得懂嗎?","hunsamu"," 7/26","13"
"15135","[好雷]星際爭霸戰-浩瀚無垠-凱文號的世界","aleona"," 7/26","15"
"15142","[普無雷]【星際爭霸戰：浩瀚無垠】船過水無痕.. ","zacksnyzhi"," 7/26","10"
"15147","[好雷] 探討人生哲學的《星際爭霸戰 浩瀚無垠》","aa175200"," 7/26","11"
"15203","[討論] 星際爭霸戰:浩瀚無垠","blackbottle"," 7/28","4"
"15204","Re: [討論] 星際爭霸戰:浩瀚無垠","hahamula"," 7/28",""
"15276","[普雷] 星際爭霸戰：浩瀚無垠","ssize"," 7/29","10"
"15303","[實況]半瓶醋夜未眠#020 星際爭霸戰:浩瀚無垠 ","bpf1980"," 7/29",""
"15316","[好雷]擺脫懷舊，開始蛻變新生《星際爭霸戰 浩 ","lopoko"," 7/29","8"
"15375","[新聞] 《星際爭霸戰》瓦肯人史巴克造型之謎","eelce"," 7/30","2"
"15391","Re: [實況]半瓶醋夜未眠#020 星際爭霸戰:浩瀚無垠 ","SIAO"," 7/30","6"
"15400","[普雷] 反派有點薄弱的星際爭霸戰3","Raphael666"," 7/30",""
"15462","[選片] 純黑的惡夢 vs 星際爭霸戰3","PrinceBamboo"," 7/31","26"
"15517","Re: [普雷] 星際爭霸戰：浩瀚無垠","cyberia"," 8/01","3"
"15558","[好雷] 星際爭霸戰：浩瀚無垠　企業號有愛日常 ","yuukanda0604"," 8/01","23"
"15598","[選片] 星際爭霸戰3 VS 神鬼認證 傑森包恩","Vick753"," 8/02","38"
"15633","[普雷]星際爭霸戰:浩瀚無垠-孤獨卻又溫暖的宇宙 ","Riot"," 8/03","7"
"15690","[新聞] 星際爭霸戰男星車禍身亡 父母控告車商","iam168888888"," 8/03","9"
"15697","[直播] 幕迷聊電影 星際爭霸戰：浩瀚無垠 ","grafishbanet"," 8/03",""
"15707","[好雷] 星際爭霸戰：浩瀚無垠，屬於我們的和平。","elytseerf"," 8/03","14"
"15720","[超好微雷] 星際爭霸戰：浩瀚無垠","tt102381022"," 8/04","17"
"15870","[選片] 自殺突擊隊和星際爭霸戰","caride"," 8/05","74"
"15958","[好雷] 星際爭霸戰3:浩瀚無垠","ja42022"," 8/06","15"
"15979","[影音] 幕迷聊電影(錄音)-星際爭霸戰：浩瀚無垠 ","grafishbanet"," 8/06",""
"16313","[好雷]《星際爭霸戰：浩瀚無垠》－信任與絕望的","kielkiel"," 8/10","10"
"16370","[好雷] 星際爭霸戰：浩瀚無垠-to absent friends","leila"," 8/11","6"
"16715","[討論] 為什麼星際爭霸戰的討論度這麼低？","qlinyuhn"," 8/15","92"
"16732","Re: [討論] 為什麼星際爭霸戰的討論度這麼低？","DuckWu"," 8/15","2"
"16735","Re: [討論] 為什麼星際爭霸戰的討論度這麼低？","ckshchen"," 8/15","12"
"16774","Re: [討論] 為什麼星際爭霸戰的討論度這麼低？","bluenicole"," 8/15","3"
"16784","[好雷] 星際爭霸戰 浩瀚無垠","bluenicole"," 8/16","30"
"16859","Re: [好雷] 星際爭霸戰 浩瀚無垠","SIAO"," 8/17","12"
"17003","[好雷]回歸探索的本質,星際爭霸戰：浩瀚無垠 ","benw"," 8/19","2"
"17279","[好雷] 星際爭霸戰:浩瀚無垠","jygiant0330"," 8/23","3"
"18535","[新聞] 中國成為《星際爭霸戰3》海外最高票房國","sampsonlu919"," 9/07","14"
"20409","[好雷] 星際爭霸戰：浩瀚無垠。迷路的故事。 ","hereafter"," 9/27","13"
"21206","[ 好雷] 星際爭霸戰 浩瀚無垠 推啊！","fox0731","10/09","20"
"22866","[請益] 奇異博士裡的配樂與星際爭霸戰相似處","daniel200292","10/30","7"
"23261","[請益] 星際爭霸戰：浩瀚無垠 片中疑問","airplanes","11/04","11"
"23848","Fw: [閒聊] 星際爭霸戰：浩瀚無垠","defenser","11/12","9"
"24906","[請益] 星際爭霸戰的防護罩","arbwen","11/26","17"
