"title","boxoffice","date","domestic","ntitle0","ntitle1","ntitle2","popularity0","popularity1","popularity2","rating","weightedrating"
"惡棍英雄：死侍",14221,"2016.02.09","美",5,214,45,191,3199,718,0.59047619047619,0.222915042868277
"動物方城市",10989,"2016.02.26","美",1,35,48,13,612,917,0.904109589041096,0.839679358717435
"神鬼獵人",5689,"2016.01.08","美",7,66,26,103,865,184,0.547945205479452,0.0414364640883978
"全面攻佔2：倫敦救援",4534,"2016.03.04","美",1,26,3,7,123,37,0.538461538461538,0.123076923076923
"單身啪啪啪",4475,"2016.02.09","美",3,16,12,29,193,127,0.84375,0.860759493670886
"蝙蝠俠對超人：正義曙光",7412,"2016.03.25","美",27,250,50,843,4075,715,0.511111111111111,0.113975576662144
"大尾鱸鰻2",3773,"2016.02.05","台",7,23,21,161,233,231,0.333333333333333,-0.590604026845638
"丹麥女孩",3306,"2016.02.12","美",1,24,36,1,420,706,0.553571428571429,0.420798065296252
"新世紀福爾摩斯：地獄新娘",2439,"2016.01.07","英",8,23,3,118,312,28,0.678571428571429,0.436363636363636
"美國隊長3：英雄內戰",18335,"2016.04.27","美",29,367,135,719,7133,3177,0.859712230215827,0.87185197875621
"X戰警：天啟",8567,"2016.05.18","美",13,200,51,312,3095,1008,0.682539682539683,0.483099323972959
"出神入化2",7616,"2016.06.08","美",13,51,10,248,559,90,0.318181818181818,0.0833333333333333
"魔獸：崛起",5173,"2016.06.08","美",12,141,21,163,2007,454,0.608695652173913,0.588990825688073
"ID4星際重生",8261,"2016.06.22","美",13,183,25,244,2028,182,0.225165562913907,-0.289514866979656
"厲陰宅2",4985,"2016.06.08","美",3,94,27,25,1128,353,0.884057971014493,0.888695652173913
"我就要你好好的",3436,"2016.06.17","美",5,44,17,47,593,255,0.666666666666667,0.286885245901639
"與森林共舞",3266,"2016.04.15","美",4,14,9,23,186,77,0.9375,0.89261744966443
"屍速列車",12950,"2016.09.02","韓",11,334,307,135,5834,3953,0.602816901408451,0.312089225253933
"自殺突擊隊",10681,"2016.08.04","美",26,203,50,776,3486,1081,0.369426751592357,-0.0357142857142857
"寵物當家",6261,"2016.06.29","美",5,17,6,31,208,68,0.2,0.0508474576271186
"神鬼認證：傑森包恩",5798,"2016.07.28","美",0,48,18,0,458,88,0.560975609756098,0.680769230769231
"海底總動員2：多莉去哪兒",5795,"2016.07.07","美",13,16,8,167,175,51,0.862068965517241,0.702325581395349
"寒戰2",5480,"2016.07.08","港",6,71,24,40,706,178,0.688888888888889,0.677333333333333
"樓下的房客",4180,"2016.08.12","台",48,89,62,465,998,711,0.563291139240506,0.381699346405229
"薩利機長：哈德遜奇蹟",3303,"2016.09.08","美",6,32,18,42,334,223,0.931818181818182,0.904645476772616
"星際爭霸戰：浩瀚無垠",2883,"2016.07.21","美",7,60,16,109,670,150,0.758620689655172,0.775229357798165
