侏羅紀世界 ,27796,6/10,n
玩命關頭7,25719,4/01,n
復仇者聯盟2：奧創紀元,20408,4/22,n
我的少女時代,15895,8/13,d
不可能的任務：失控國度,15016,7/29,n
金牌特務,13116,2/18,n
蟻人,12781,7/16,n
小小兵,11394,7/9,n
高年級實習生 ,11188,9/25,n
星際大戰：原力覺醒,9453,12/17,n
加州大地震,8120,5/29,n
移動迷宮：焦土試煉,7748,9/09,n
007：惡魔四伏,7349,11/05,n
絕地救援 ,7288,10/01,n
腦筋急轉彎,7003,8/07,n
飢餓遊戲：自由幻夢終結戰,6488,11/20,n
即刻救援3,6472,1/09,n
葉問3,6431,12/31,n
麻辣賤諜,6339,5/22,n
美國狙擊手,5657,1/15,n
大囍臨門 ,5571,2/18,d
魔鬼終結者：創世契機,5172,7/02,n
格雷的五十道陰影,4928,2/13,n
歌喉讚2 ,4912,5/15,n
熊麻吉2,4875,6/25,n
模仿遊戲,4365,2/26,n
分歧者2：叛亂者,4187,3/20,n
瘋狂麥斯：憤怒道,3889,5/15,n
聖母峰 ,3790,9/18,n
紳士密令,3489,8/13,n
追婚日記,3088,12/04,d
破風,2925,8/07,n
明日世界,2872,5/22,n
小王子 ,2812,10/23,n
紅衣小女孩,2612,11/27,d
獵巫行動：大滅絕,2372,10/21,n
成人世界,2304,3/06,n
朱比特崛起,2234,2/04,n
刺客聶隱娘,2222,8/28,d
角頭,2217,7/09,d
玩命快遞：肆意橫行,2214,9/02,n
間諜橋 ,2183,10/16,n
仙履奇緣,2126,3/13,n
天菜大廚,2119,10/30,n
翻轉幸福,2077,12/31,n
馬達加斯加爆走企鵝 ,2073,2/13,n
白鯨傳奇：怒海之心,1954,12/03,n
魔法黑森林,1943,2/18,n
尖叫旅社2   ,1926,9/25,n
一夜狂奔,1891,3/12,n
