"title","author","date","response"
"1","[請益] 七先生的第七個兒子跟小叮噹哪個好？？","stockeye","12/31","15"
"2","[問片] 男生偷窺女生自慰","wowilan","12/31","8"
"3","[討論] 2014看過的電影","mcgillhome","12/31","1"
"4","[微好雷] 博物館驚魂夜3 ","lmf770410","12/31","2"
"5","[新聞] 李國修冥誕 王月因《極光》獲新生","iam168888888","12/31","3"
"6","[新聞] 2015最令人期待新片：星際大戰","iam168888888","12/31","9"
"7","Re: [討論] 請推薦最好看的警匪片","beckseaton","12/31","15"
"8","[新聞] 美國金球獎提名揭曉 競爭激烈有話題","sampsonlu919","12/31","4"
"9","Re: [請益] 為什麼Marvel漫畫電影可以持續成功","Dong0129","12/31","7"
"10","[新聞] 經濟吃緊，法國藉管制A咖的片酬當祭旗","sampsonlu919"," 1/01","11"
"11","[片單] 爛到會哭笑不得的爛片","bill09232002"," 1/01","爆"
"12","[好雷] 大英雄天團心得（有雷的請益）","a53216321"," 1/01","15"
"13","[片單] 推薦結局發人深省的片","lankawi"," 1/01","34"
"14","[討論] 今晚九點電影/元旦連假電影精選","xFANx"," 1/01","17"
"15","[好雷]《冬日甦醒》- 沽名釣譽的叨絮","loven0201"," 1/01","6"
"16","[討論] 關於名嘴出任務裡面的歌 (有雷)","lpbrother"," 1/01",""
"17","Re: [片單] 爛到會哭笑不得的爛片","winall"," 1/01","17"
"18","Re: [片單] 爛到會哭笑不得的爛片","Tosca"," 1/01","1"
"19","[大好雷] 溫馨的大英雄天團 ","maxjoiny"," 1/01","12"
"20","[新聞]夏天再會 喬瑟夫高登李維新婚大喜 ","kevinhft"," 1/01","8"
"21","Re: [大好雷] 溫馨的大英雄天團 ","daimond"," 1/01","2"
"22","[好雷] 鱷魚的黃眼睛━群體認同感的背後","ericd"," 1/01","3"
"23","[ 怪雷] 看了一部怪洨片神鬼定律","judasprist"," 1/01","3"
"24","[好雷]《盲》：雙眼底下的勇氣 ","dilovewia"," 1/01",""
"25","[無雷] 大英雄天團","lastpost"," 1/01","8"
"26","[好雷] 惡魔教室","advancevan"," 1/01","3"
"27","[票房]2014年台北票房抗跌%.TOP20","speed2"," 1/01","17"
"28","[討論] 周潤發賀歲強片【賭城風雲2】預告","psooolder"," 1/01","18"
"29","[問片] 請問一部滿舊的片","wenner"," 1/01","1"
"30","[請益] 請問一個美國影星","justdoit1106"," 1/01","9"
"31","[情報] 第35屆金酸莓獎 初選名單","bill93557063"," 1/01","42"
"32","[ 無雷] 大英雄天團","start04"," 1/01","9"
"33","[問片] 找一部動畫片","IamRaytheon"," 1/01","5"
"34","Fw: [票房] 2013年票房,imdb,爛蕃茄","ooic"," 1/01","11"
"35","[請益]大家是如何知道一部電影是賺還是賠呢?","huanglove"," 1/01","1"
"36","[好雷] 大英雄天團  超好笑 超感人","tsim"," 1/01","8"
