死侍,14221,2016.02.09,美
動物方城市,10989,2016.02.26,美
神鬼獵人,5689,2016.01.08,美
全面攻佔,4534,2016.03.04,美
單身啪啪啪,4475,2016.02.09,美
蝙蝠俠,7412,2016.03.25,美
大尾鱸鰻,3773,2016.02.05,台
丹麥女孩,3306,2016.02.12,美
福爾摩斯,2439,2016.01.07,英
美國隊長,18335,2016.04.27,美
天啟,8567,2016.05.18,美
出神入化,7616,2016.06.08,美
魔獸,5173,2016.06.08,美
ID4,8261,2016.06.22,美
厲陰宅,4985,2016.06.08,美
我就要你好好的,3436,2016.06.17,美
與森林共舞,3266,2016.04.15,美
屍速列車,12950,2016.09.02,韓
自殺突擊隊,10681,2016.08.04,美
寵物當家,6261,2016.06.29,美
神鬼認證,5798,2016.07.28,美
海底總動員,5795,2016.07.07,美
寒戰,5480,2016.07.08,港
樓下的房客,4180,2016.08.12,台
薩利機長,3303,2016.09.08,美
星際爭霸戰,2883,2016.07.21,美
